CASE,TOTAL,PASS,FAIL,SKIP
Hypervisor,280,242,2,36
Sha,28,28,0,0
Shcounterenw,21,17,0,4
Shgatpa,21,21,0,0
Shlcofideleg,14,1,0,13
Shtvala,50,46,2,2
Shvstvala,22,20,0,2
Shvsatpa,19,19,0,0
Sv39x4,50,50,0,0
Sv48x4,52,52,0,0
Sv57x4,52,52,0,0
Sv39x4_Sv39,149,149,0,0
Sv39x4_Sv48,152,152,0,0
Sv39x4_Sv57,155,155,0,0
Sv48x4_Sv39,152,152,0,0
Sv48x4_Sv48,156,156,0,0
Sv48x4_Sv57,160,160,0,0
Sv57x4_Sv39,155,155,0,0
Sv57x4_Sv48,160,160,0,0
Sv57x4_Sv57,165,165,0,0
Hypervisor_Smcntrpmf,7,4,2,1
Hypervisor_Smcsrind,11,11,0,0
Hypervisor_Smmpm,5,5,0,0
Hypervisor_Smnpm,6,6,0,0
Hypervisor_Smstateen,14,9,0,5
Hypervisor_Ssccptr,4,3,0,1
Hypervisor_Sscsrind,33,22,0,11
Hypervisor_Ssdbltrp,24,11,0,13
Hypervisor_Ssnpm,48,47,0,1
Hypervisor_Ssqosid,6,6,0,0
Hypervisor_Ssstateen,50,36,4,10
Hypervisor_Sstc,0,0,0,0
Hypervisor_Sstvala,8,8,0,0
Hypervisor_Svadu,7,7,0,0
Hypervisor_Svinval,15,15,0,0
Hypervisor_Svnapot,3,3,0,0
Hypervisor_Svpbmt,4,4,0,0
Hypervisor_Zicbom,40,38,0,2
Hypervisor_Zicbop,8,8,0,0
Hypervisor_Zicboz,15,14,0,1
Hypervisor_Zicfilp,44,43,0,1
Hypervisor_Zicfiss,75,74,0,1
Hypervisor_Zkr,18,18,0,0
